atc,nameen,ddd,administration_route
N05AX15,cariprazine,,
C02LA50,combination of rauwolfia alkaloids and diuretics incl. other combinations,,
M02AC55,"diethylamine salicylate, combinations",,
C07E,beta blocking agents and vasodilators,,
C01DX03,oxyfedrine,40,O
M02AB53,"nonivamide, combinations",,
C03CA,"sulfonamides, plain",,
C01CA17,midodrine,30,O
V10XA53,tositumomab/iodine (131i) tositumomab,,
S01AB01,sulfamethizole,,
R07AB08,dimefline,,
B01AD11,tenecteplase,40,P
N02BA75,"salicylamide, combinations with psycholeptics",,
V04CB,tests for fat absorption,,
R02AA,antiseptics,,
N03AC03,ethadione,,
C03BA,"sulfonamides, plain",,
B05BB04,electrolytes in combination with other drugs,,
V07AY,other non-therapeutic auxiliary products,,
D11AX23,aminobenzoate potassium,,
R03DA06,etamiphylline,,
C10AD05,nicotinyl alcohol (pyridylcarbinol),0.9,O
R02AX50,"other throat therapeutics, combinations",,
L01AA03,melphalan,,
V09X,other diagnostic radiopharmaceuticals,,
J01XX10,bacitracin,,
R03AK13,salbutamol and beclometasone,,
L01CC,colchicine derivatives,,
D08AH01,dequalinium,,
V09E,respiratory system,,
V09,diagnostic radiopharmaceuticals,,
S01AE02,norfloxacin,,
N04BA10,levodopa in combination with carbidopa,"0,6",O
G01AA03,amphotericin b,0.2,V
J01CR50,combinations of penicillins,,
B05BC01,mannitol,,
A15AA51,"cyproheptadine, combinations",,
R01AC01,cromoglicic acid,40,N
A05BA12,myo-inositol,,
M01AC03,isoxicam,,
R02AA59,"benzethonium, combinations",,
S01BA14,loteprednol,,
A10BJ02,liraglutide,1.2,P
J01BA52,"thiamphenicol, combinations",,
G02CB03,cabergoline,0.5,O
R06AA07,diphenylpyraline,10,O
A03FA08,cinitapride,,
V04CX05,tumor antigen test zone,,
P02DX01,desaspidin,,
N05AH04,quetiapine,0.4,O
A03AB01,benzilone,70,O
D04AH01,cardiospermum,,
S01BC04,flurbiprofen,,
C02CC04,debrisoquine,20,O
L02BG01,aminoglutethimide,1,O
D08AK04,mercurochrome,,
C03EA41,hydrochlorothiazide and amiloride,,
M02BB51,"hydroxyethyl salicylate, combinations",,
R05DA13,nicocodine,,
N02BB56,"phenazone salicylate, combinations excl. psycholeptics",,
V09IX05,fluorodopa (18f),,
S01EB10,paraoxon,,
S02DA51,"lidocaine, combinations",,
V07AD,"blood tests, auxiliary products",,
C05BZ09,escin,,
A03FA04,bromopride,20,O
A09AB50,"other acids, combinations",,
S01AA,antibiotics,,
P02CC01,pyrantel,0.75,O
A10BB09,gliclazide,60,O
C09DA24,irbesartan and hydrochlorothiazide,,
S03AA07,ciprofloxacin,,
N06AP,herbal antidepressants,,
P02CC,tetrahydropyrimidine derivatives,,
A10A,insulins and analogues,,
A08AA12,phendimetrazine,,
A03AA01,oxyphencyclimine,20,O
N06DX11,bencyclane,,
R02AA32,aluminium-containing compounds,,
R05FH20,mixes,,
S01AA10,natamycin,,
B02BA01,phytomenadione,20,O
G04BX99,,,
D01AE62,"salicylic acid, combinations",,
P01AC02,clefamide,,
L01XD05,temoporfin,,
D08AC,biguanides and amidines,,
A12BA30,combinations,,
N06AH10,various,,
B05AA02,other plasma protein fractions,,
N01BA02,procaine,,
S01AD02,trifluridine,,
A12BA04,potassium hydrogencarbonate,4,O
J05AG02,delavirdine,1.2,O
N07AA,anticholinesterases,,
N02BA02,aloxiprin,3,O
C05AD61,"quinisocaine, combinations",,
V08AC01,iodoxamic acid,,
D08AE56,"biphenylol, combinations",,
C02AA07,bietaserpine,15,O
A02AB01,aluminium hydroxide,,
G04CA53,tamsulosin and solifenacin,,
D07BB,"corticosteroids, moderately potent, combinations with antiseptics",,
C04AX26,cetiedil,,
A02BD02,"lansoprazole, tetracycline and metronidazole",,
J05AD01,foscarnet,6.5,P
N03AE01,clonazepam,8,O
A11CC06,calcifediol,,
J04AC,hydrazides,,
C10AP,herbal agents affecting lipid metabolism,,
C01AA56,"lanatoside c, combinations",,
R06AA56,"chlorphenoxamine, combinations",,
C03ED02,potassium canrenoate and high-ceiling diuretics,,
N05BA18,ethyl loflazepate,2,O
M04AC,preparations with no effect on uric acid metabolism,,
L01AG,epoxides,,
P01CX02,suramin sodium,0.27,P
M03CA,dantrolene and derivatives,,
C04AE02,nicergoline,,
G01AX06,furazolidone,,
C01AA20,mixes,,
C02KX07,tadalafil,40,O
S01XH10,various,,
B01AE03,argatroban,0.2,P
L03AA09,sargramostim,0.45,P
V03AX02,nalfurafine,,
A08AA56,"ephedrine, combinations",,
V06DB50,"fats/carbohydrates/proteins/minerals/vitamins, combinations",,
A12CC03,magnesium gluconate,5,O
B05BA13,sorbitol,,
D02AX08,glucose,,
L01AB,alkyl sulfonates,,
R01AD05,budesonide,0.2,N
V03AB22,amyl nitrite,,
M02AP09,rosemary,,
C01CX06,angiotensinamide,5,P
V04CN12,methylenedioxy-methamphetamine test zone,,
S01XA34,pantothenic acid,,
C01DX14,cinepazet,0.9,O
G04BD01,emepronium,0.5,O
N01AF01,methohexital,,
D06AX13,retapamulin,,
A10AE54,insulin glargine and lixisenatide,,
L03AA03,molgramostim,0.35,P
A06AC03,sterculia,8,O
M01AE15,flunoxaprofen,,
S03AA03,polymyxin b,,
G01AX13,protiofate,,
J05AE15,asunaprevir,,
A10BB06,carbutamide,0.75,O
R03CC54,"fenoterol, combinations",,
M09AH50,combinations with other agents,,
R02AX59,"ems salt, combinations",,
C07D,"beta blocking agents, thiazides and other diuretics",,
N02BA71,"acetylsalicylic acid, combinations with psycholeptics",,
J01CA20,combinations,,
G02AB,ergot alkaloids,,
M02AX29,potassium-iron(iii)-phosphate-citrate complex,,
J01XX04,spectinomycin,3,P
D04AX03,bufexamac,"0,1",T
D03AP08,bromelain**,2,T
G03FC,"progestogens and estrogens, combinations with other agents",,
C01CB54,"oxilofrin, combinations",,
N05CC01,chloral hydrate,1,O
G02CX07,splenic extract,,
A03E,antispasmodics and anticholinergics in combination with other drugs,,
A03AE,serotonin receptor antagonists,,
H02CA02,ketoconazole,"0,6",O
D07CC02,fluocinolone acetonide and antibiotics,,
D08AK06,thiomersal,,
A11EX50,"vitamin b complex, other combinations",,
J07AH03,"meningococcus a,c, bivalent purified polysaccharides antigen",,
C10AB07,ronifibrate,,
A07AA09,vancomycin,2,O
L01CD02,docetaxel,,
M02AA09,bufexamac,,
M03AC01,pancuronium,,
S01XA03,"sodium chloride, hypertonic",,
J07CA09,diphtheria-hemophilus influenzae b-pertussis-poliomyelitis-tetanus-hepatitis b,,
R06AB07,talastine,,
L01XC09,catumaxomab,,
J07CA13,diphtheria-hemophilus influenzae b-pertussis-tetanus-hepatitis b-meningococcus a + c,,
R07AB05,bemegride,,
C03BA07,clofenamide,,
A07BP,plant adsorbents,,
A02BA03,famotidine,40,O
D11AB14,sodium bicarbonate,,
V08DA01,microspheres of human albumin,,
C10AD04,aluminium nicotinate,,
A07E,intestinal antiinflammatory agents,,
V09EX,other respiratory system diagnostic radiopharmaceuticals,,
P,"antiparasitic products, insecticides and repellents",,
D11AX28,cellulose,,
M09AA01,hydroquinine,0.2,O
A03AX63,"silicones, combinations",,
G02C,other gynecologicals,,
N02BG04,floctafenine,1,O
C05CA13,hydroxyethylrutosides,,
R05DP02,icelandic moss,,
G01AC02,clioquinol,,
V03AB,antidotes,,
C05CA07,escin,"0,1",O
V03AF09,glucarpidase,,
A10X,other drugs used in diabetes,,
G03AC09,desogestrel,,
A06AC55,"linseed, combinations",,
P03AA02,potassium polysulfide,,
C07CA17,bopindolol and other diuretics,,
A04AA03,tropisetron,5,P
C01B,"antiarrhythmics, class i and iii",,
C04AE,ergot alkaloids,,
L03AG51,"enterococcus, combinations",,
L01BA05,pralatrexate,,
L01XE41,binimetinib,,
A10AC01,insulin (human),40,P
C02DC,pyrimidine derivatives,,
P03AA04,disulfiram,,
P02CB,piperazine and derivatives,,
M05BB04,"risedronic acid, calcium and colecalciferol, sequential",5,O
N07AA30,ambenonium,60,O
C04,peripheral vasodilators,,
N05CM25,magnesium aspartate hydrobromide,,
B05CX04,mannitol,,
A13AA01,glutamic acid,30,O
A02BX09,acetoxolone,,
D10AX10,benzalkonium chloride,,
N05CF03,zaleplon,10,O
C01EH01,crataegus,,
D01AC53,"econazole, combinations",,
B05AA08,hemoglobin crosfumaril,,
S01GA,sympathomimetics used as decongestants,,
R06AD03,thiethylperazine,13,O
R02AA28,witchtidine,30,O
L01AC01,thiotepa,,
R03DA51,"diprophylline, combinations",,
G03FB12,nomegestrol and estrogen,,
V07AI01,other aids without central pharmaceutical number,,
L01XA05,polyplatillen,,
A04AH,homeopathic and anthroposophic antiemetics,,
A07EB0,,,
J02AC04,posaconazole,0.3,O
N01AB08,sevoflurane,,
P03AC02,bioallethrin,,
C02CA08,terazosin,5,O
D11AC,medicated shampoos,,
A12AX51,"calcium carbonate and colecalciferol, combinations with other agents",,
V03AB18,potassium permanganate,,
N06AX19,gepirone,,
A10XP30,mixes,,
G04BD13,desfesoterodine,,
S02DA,analgesics and anesthetics,,
B05BB02,electrolytes with carbohydrates,,
B03XA99,,,
G03GA21,lutropine alfa and follitropine alfa,,
C01CA01,etilefrine,50,O
S01LA02,anecortave,,
D03B,enzymes,,
A06AG11,"sodium lauryl sulfoacetate, incl. combinations",,
C04BA,combinations of other peripheral vasodilators,,
J07BJ51,"rubella, combinations with mumps, live attenuated",,
D07A,"corticosteroids, plain",,
S01AD13,tromantadine,,
J01BA51,"chloramphenicol, combinations",3,O
J01ED,long-acting sulfonamides,,
M01AB13,oxametacin,,
C03AH,"thiazides, combinations with psycholeptics and/or analgesics",,
N05BA22,cloxazolam,,
D03AP04,camomile bleeding,,
R06AX12,terfenadine,0.12,O
B02BD05,coagulation factor vii,,
S02DA30,combinations,,
B05AA03,fluorocarbon blood substitutes,,
M01AA05,clofezone,0.6,O
P01AB03,ornidazole,1.5,O
S01AX05,bibrocathol,,
R02AA06,cetylpyridinium,,
C04AX99,,,
J04AC51,"isoniazid, combinations",,
R01AX21,mineral salt,,
J01EB59,"sulfacarbamide, combinations",,
N01BX03,phenol,,
D11AB,dermatological balneotherapeutics,,
N05CA16,hexobarbital,0.25,O
N07XX10,laquinimod,,
D06BP03,green tea**,,
M09AX05,aceneuramic acid,,
M03AC03,vecuronium,,
G04BC,urinary concrement solvents,,
S02CA07,fludrocortisone and antiinfectives,,
R01AX28,ems salt,,
N03AF,carboxamide derivatives,,
M09A,other drugs for disorders of the musculo-skeletal system,,
C03EB01,furosemide and potassium-sparing agents,,
R03DB13,caffeine and sympathomimetics,,
J01XX06,mandelic acid,12,O
G01BD01,antiseptics and corticosteroids,,
J01MA18,pazufloxacin,1,P
G04BX10,succinimide,,
S02DA57,"tetracaine, combinations",,
J05AF,nucleoside and nucleotide reverse transcriptase inhibitors,,
R01BH20,mixes,,
V06DD,"amino acids, incl. combinations with polypeptides",,
C10AX12,lomitapide,40,O
P01AR01,arsthinol,,
A06AC51,"ispaghula, combinations",,
V04CX06,imciromab,,
S01CB02,prednisolone,,
C05CA03,diosmin,,
B03XA01,erythropoietin,1,P
A11DB01,thiamine (vitamin b1) and pyridoxine (vitamin b6),,
S01XA86,digitalisglycosides and aesculin,,
N06BX,other psychostimulants and nootropics,,
L04AC07,tocilizumab,20,P
R05Z,,,
G02AB01,methylergometrine,0.2,O
A01AP,herbal stomatologics,,
G03DB07,promegestone,,
C10BA,hmg coa reductase inhibitors in combination with other lipid modifying agents,,
N03AD02,phensuximide,2,O
D07XA02,prednisolone,,
A10B,"blood glucose lowering drugs, excl. insulins",,
M02AX,other topical products for joint and muscular pain,,
N01AX11,sodium oxybate,,
A03CA08,diphemanil and psycholeptics,,
V03AB31,prussian blue,,
R03DB,xanthines and adrenergics,,
G02BA02,plastic iud with copper,,
A01AP10,various,,
V09IA01,technetium (99mtc) anticarcinoembryonicantigen antibody,,
S01K,surgical aids,,
N05CE02,methyprylon,0.2,O
S01AX15,propamidine,,
C05AE03,diltiazem,,
D07XB10,clocortolone,,
M02AA99,,,
N05CM01,methaqualone,0.2,O
S02DA01,lidocaine,,
D01AC20,imidazoles/triazoles in combination with corticosteroids,,
A12CC01,magnesium chloride,2.5,O
V06A,diet formulations for treatment of obesity,,
A03AX05,fenoverine,,
R02AA55,"chlorhexidine, combinations",,
L01XX25,bexarotene,,
R01AD06,betamethasone,0.4,N
G03DA01,gestonorone,30,P
S02AA03,boric acid,,
A05AC01,bile therapeutics in combination with spasmolytics,,
D11AX21,brimonidine,,
V09XX01,cobalt (57co) cyanocobalamine,,
C09BA23,lisinopril and hydrochlorothiazide,,
A16AX06,miglustat,0.3,O
J01MA05,temafloxacin,0.8,O
A07EF01,"escherichia coli, tribe nissle 1917",,
J01FA13,dirithromycin,0.5,O
C07AA05,propranolol,0.16,O
A13AZ,,,
C02AC02,guanfacine,3,O
V03AB34,fomepizole,,
N07BC05,levomethadone,15,O
A01AB50,mixes,,
J06BB04,hepatitis b immunoglobulin,,
A03AB10,hexocyclium,0.15,O
A05BA01,arginine glutamate,,
S01FB01,phenylephrine,,
C07DA25,"propranolol, hydrochlorothiazide and triamterene",,
R06AD,phenothiazine derivatives,,
R05CA,expectorants,,
D03AP30,mixes,,
D02AC,soft paraffin and fat products,,
A02BB01,misoprostol,0.8,O
H02BX02,"dexamethasone, combinations",,
N05BA05,potassium clorazepate,20,O
A03AB02,glycopyrronium bromide,3,O
P01CB,antimony compounds,,
S01E,antiglaucoma preparations and miotics,,
L01AD06,nimustine,,
V07AX,washing agents etc.,,
D08AB01,aluminum chloride hydroxide complex,,
J01DB03,cefalotin,4,P
A02AH01,sodium bicarbonate,,
R03AL06,olodaterol and tiotropium bromide,,
L01AD07,ranimustine,,
L01XE12,vandetanib,,
V07AV,technical disinfectants,,
M01AC01,piroxicam,20,O
G03BB01,mesterolone,50,O
A03AA09,difemerine,,
N07AB01,carbachol,6,O
N02AJ19,oxycodone and ibuprofen,,
J01MA21,sitafloxacin,0.1,O
C08CX01,mibefradil,75,O
A02AA03,magnesium peroxide,,
S01GA56,"oxedrine, combinations",,
N02CC,selective serotonin (5ht1) agonists,,
J05AX11,elvitegravir,,
V04CM01,gonadorelin,,
C02LC01,clonidine and diuretics,,
C09,agents acting on the renin-angiotensin system,,
N02AA10,papaveretum,,
C09BA54,perindopril and indapamide,,
S01XA07,alum,,
C04AB01,phentolamine,10,O
G04BD04,oxybutynin,15,O
B02BC06,thrombin,,
M02AA73,"indometacin, combinations",,
A05BA08,glycyrrhizic acid,,
A12AA05,calcium lactate,2,O
N06AX17,milnacipran,0.1,O
H02AA02,fludrocortisone,0.1,O
M02BX,other balneotherapeutic antirheumatic drugs,,
J01CE03,propicillin,0.9,O
A07BC01,pectin,,
V08AC05,iobenzamic acid,,
R03CC,selective beta-2-adrenoreceptor agonists,,
V08AB01,metrizamide,,
A09AB03,hydrochloric acid,,
J01DH51,imipenem and cilastatin,2,P
C02KX03,sitaxentan,0.1,O
A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),,
R01AD08,fluticasone,0.2,N
C03BA05,mefruside,25,O
L01XE22,masitinib,,
G03XC04,ormeloxifene,,
J01XX09,daptomycin,0.28,P
J01AA03,chlortetracycline,1,O
D07BC05,halometasone and antiseptics,,
R06AX17,ketotifen,2,O
A06AB10,coloquinths,"0,3",O
J05AF11,telbivudine,0.6,O
N06BX13,idebenone,0.9,O
G02CD20,mixes,,
A03AB21,fenpiverinium,,
L01XX07,lonidamine,,
D11AX24,deoxycholic acid,,
J06BB08,staphylococcus immunoglobulin,,
C04AA,2-amino-1-phenylethanol derivatives,,
J07AG51,"hemophilus influenzae b, combinations with toxoids",,
A07ED,other anti-inflammatory agents,,
C08GA53,"verapamil, hydrochlorothiazide and triamterene",,
N06AX21,duloxetine,60,O
C03AB03,hydrochlorothiazide and potassium,25,O
C07AB02,metoprolol,0.15,O
D11AA51,"sage leaves, combinations",,
N02BB51,"phenazone, combinations excl. psycholeptics",3,O
S02AA13,miconazole,,
S02AA05,clioquinol,,
S01CC01,diclofenac and antiinfectives,,
J01GB11,isepamicin,0.4,P
J01DE,fourth-generation cephalosporins,,
C07FX01,propranolol and other combinations,,
A16AX03,sodium phenylbutyrate,20,O
C04AE04,dihydroergocristine,,
M02AA24,nifenazone,,
J07CA12,diphtheria-pertussis-poliomyelitis-tetanus-hepatitis b,,
J01GB01,tobramycin,0.112,Inhal
R05XA04,"ethenzamide, combinations",,
R05DB19,dropropizine,,
V04BA05,ph test zone,,
C02AA,rauwolfia alkaloids,,
V04CF01,tuberculin,,
D08AX,other antiseptics and disinfectants,,
R06AA04,clemastine,2,O
N06BA12,lisdexamfetamine,30,O
J01DC05,cefotetan,4,P
A06AG07,sorbitol,,
S01GX51,"cromoglicic acid, combinations",,
A03FA,propulsives,,
D10AE51,"benzoyl peroxide, combinations",,
A07EA05,tixocortol,,
G03B,androgens,,
A13A,tonics,,
M01AG04,meclofenamic acid,,
J05AX02,lysozyme,,
G04CA51,alfuzosin and finasteride,,
J01CA08,pivmecillinam,0.6,O
G03AB,"progestogens and estrogens, sequential preparations",,
D08AX09,oxoferin reaction product,,
D03AX01,cadexomer iodine,,
R03AC09,tretoquinol,,
N05H,homeopathic and anthroposophic psycholeptics,,
A02AH,antacids with sodium bicarbonate,,
N05AL04,remoxipride,0.3,P
L01AA06,ifosfamide,,
C07CB04,acebutolol and other diuretics,,
C01DX21,serelaxin,,
A08AA08,clobenzorex,,
J06AA99,,,
N06BA16,amphetaminil,,
C01EX66,"theophylline, combinations",,
D03AC50,"scar treatment agents, combinations",,
D08AH10,cloxiquin,,
A02BA53,"famotidine, combinations",,
V03AE03,lanthanum carbonate,2.25,O
R04A,breast rubs and other inhalates,,
G03AC,progestogens,,
D01,antifungals for dermatological use,,
P01AB04,azanidazole,,
C03CA03,piretanide,,
A09AA03,pepsin,,
M02AH03,guajacum,,
C10AD06,acipimox,0.5,O
D04AA16,pheniramine,,
J01EB09,sulfacarbamide,,
B05AX47,whole blood without central pharmaceutical number,,
D08AB,aluminium agents,,
G04BX,other urologicals,,
V01,allergens,,
N03AX09,lamotrigine,0.3,O
R03DB03,proxyphylline and adrenergics,,
D07B,"corticosteroids, combinations with antiseptics",,
C09DA21,losartan and hydrochlorothiazide,,
S01XC20,mixes,"0,4",TD
J01XE01,nitrofurantoin,0.2,O
S01AX02,silver compounds,,
A04AB54,"meclozin, combinations","37,5",O
P02CA,benzimidazole derivatives,,
B01AC15,aloxiprin,,
A16AB,enzymes,,
R03DC02,pranlukast,,
R05CB01,acetylcysteine,1.6,Inhal
V03AE05,sucroferric oxyhydroxide,1.5,O
A12AH20,mixes,,
J01CE05,pheneticillin,1,O
D01BA02,terbinafine,0.25,O
V03A,all other therapeutic products,,
S02BA03,prednisolone,,
R07AB53,"pentetrazol, combinations",,
R02AB,antibiotics,,
J01CG,beta-lactamase inhibitors,,
R06AX11,astemizole,10,O
G02CX99,,,
D10AB,preparations containing sulfur,,
M03AC06,pipecuronium bromide,,
J01CE02,phenoxymethylpenicillin,2,O
N06DX16,pentifylline,,
J01MA01,ofloxacin,0.4,O
V03AF08,palifermin,4.2,P
P01BE03,artesunate,0.28,O
D02AF,salicylic acid preparations,,
C04BA01,"moxaverin, combinations",,
R05CB10,combinations,,
G04BH10,"various homeopathic and anthroposophical remedies, urology",,
C01DX11,trapidil,,
S01B,antiinflammatory agents,,
J01DC13,cefbuperazone,2,P
P03BX02,dimethylphthalate,,
N05CM15,methylpentynol,,
S01XA04,potassium iodide,,
L04AC04,rilonacept,23,P
C10AA01,simvastatin,30,O
D01AE01,bromochlorosalicylanilide,,
S01CB01,dexamethasone,,
M02AX10,various,,
A16AA06,betaine,6,O
D08AL50,"other silver compounds, combinations",,
N07XX04,sodium oxybate,7.5,O
N05BA04,oxazepam,50,O
C05CX03,hippocastani semen,,
L04AA24,abatacept,27,P
S01EB03,ecothiopate,0.2,
M01AB06,alclofenac,1.25,O
N05BA15,camazepam,30,O
S01EA01,epinephrine,,
N06BX14,prolintane,,
L02BG06,exemestane,25,O
L01DC02,plicamycin,,
D07BB06,fluprednides and antiseptics,,
A08AA05,mazindol,1,O
R05DB04,isoaminile,0.11,O
D07XB05,dexamethasone,,
N06AA09,amitriptyline,75,O
G04BX03,acetohydroxamic acid,0.75,O
R05DB29,fominoben,,
M04A,antigout preparations,,
P01BA01,chloroquine,0.5,O
N06AA18,dimetacrine,0.15,O
L01XE21,regorafenib,,
L02,endocrine therapy,,
S01EB07,fluostigmine,,
R07AB50,"other respiratory stimulants, combinations",,
S02DA55,"procaine, combinations",,
N05HH,homeopathic and anthroposophic hypnotics and sedatives,,
A07DA,antipropulsives,,
A07BC04,attapulgite,,
S02AA14,gentamicin,,
C09A,"ace inhibitors, plain",,
D11BH10,various,,
D08AE05,chloroxylenol,,
J07BJ01,"rubella, live attenuated",,
D11AX06,mequinol,,
C07AG,alpha and beta blocking agents,,
G02CP03,cimicifugal rhizome**,40,O
V04CC02,magnesium sulfate,,
J07AP02,"typhoid, inactivated, whole cell",,
A12CE01,sodium selenate,0.2,O
J04AC01,isoniazid,0.3,O
A04AB56,"doxylamine, combinations",,
P03AC,"pyrethrines, incl. synthetic compounds",,
C03EB,high-ceiling diuretics and potassium-sparing agents,,
C01EA01,alprostadil,0.5,P
B01AA09,clorindione,,
A16AX14,migalastat,61.5,O
N06BC,xanthine derivatives,,
C05BP01,horse chestnut seeds,,
A10AE30,combinations,40,P
V03AF02,dexrazoxane,1.5,P
V09XA,iodine (131i) compounds,,
R02AX,other throat preparations,,
N05BA17,fludiazepam,0.75,O
P01CC,nitrofuran derivatives,,
D08AE51,"hexachlorophene, combinations",,
S01XA36,digitalisglycosides,,
V08BA02,barium sulfate without suspending agents,,
J02AB,imidazole derivatives,,
A03AA06,rociverine,,
V01A,allergens,,
A16AB17,cerliponase alfa,,
A06AX01,glycerol,,
M09AX09,escherichia coli,,
A02,drugs for acid related disorders,,
J01RA02,"sulfonamides, combinations with other antibacterials (excl. trimethoprim)",,
V06BA,protein supplement food,,
A09AP02,wormwood,,
S01AX14,dibrompropamidine,,
D04AB51,"lidocaine, combinations",,
G04BA,acidifiers,,
A13AP02,ginseng root,,
A02AC01,calcium carbonate,,
R05DB23,piperidione,,
D08AG01,iodine/octylphenoxypolyglycolether,,
M09AA52,"quinine, combinations excl. psycholeptics",,
D10AD,retinoids for topical use in acne,,
A10BX10,lixisenatide,,
R01AD07,tixocortol,8,N
B05XA12,zinc chloride,,
A01AB31,sodium hypochlorite,,
R03AB02,isoprenaline,0.64,Inhal
P02DA,salicylic acid derivatives,,
N06AB04,citalopram,20,O
J01XB01,colistin,3,Inhal
N04BX02,entacapone,1,O
D10AA07,clocortolone,,
S01AX07,sodium borate,,
M03AB01,suxamethonium,,
M03BC51,"orphenadrine, combinations",,
R03AC04,fenoterol,4,Inhal
H01AB,thyrotropin,,
D05AX56,"salicylic acid, combinations",,
A09AA50,"enzymes, combinations",,
L01XE31,nintedanib,,
A02AD05,almasilate,,
A03DA,synthetic anticholinergic agents in combination with analgesics,,
D07AC18,prednicarbate,,
A04AP,herbal antiemetics,,
N02BG09,methoxyflurane,,
